transcript_id,ENCLB117FKX,ENCLB129EAK,ENCLB597ZOR,ENCLB925FOQ
FBtr0310020,1,2,17,90
FBtr0077916,785,515,533,549
FBsf0000762047,1,1,1,0
FBtr0077876,473,337,46,74
FBsf0000588177,1,1,0,0
FBsf0000915815,1,1,1,1
FBtr0334842,39,102,98,377
FBtr0334843,302,205,366,485
FBtr0077915,98,14,2,82
FBsf0000762472,0,0,0,0
FBsf0000762471,0,0,0,0
FBtr0077877,0,0,0,0
FBtr0303933,0,0,0,0
FBtr0303935,0,0,0,0
FBtr0077878,0,0,0,0
FBtr0303934,0,0,0,0
FBsf0000768016,0,0,0,0
FBsf0000768015,0,0,1,1
FBsf0000918869,0,0,1,1
FBtr0344040,0,0,0,0
FBsf0000916087,0,0,0,0
FBtr0333545,0,158,0,0
FBsf0000919007,0,0,0,0
FBsf0000588948,0,0,0,3
FBsf0000588949,0,0,0,0
FBtr0306167,0,0,4,0
FBsf0000918324,0,0,0,0
FBsf0000764376,0,0,0,0
FBtr0077908,0,0,0,0
FBtr0302115,0,1,413,548
FBsf0000917582,0,0,0,0
FBsf0000587798,0,0,0,0
FBsf0000588050,0,0,0,0
FBsf0000916085,0,0,0,0
FBsf0000589173,0,0,0,0
FBtr0077885,0,0,0,0
FBsf0000916081,0,0,0,0
FBsf0000916090,0,0,0,0
FBtr0077887,0,0,267,1150
FBsf0000916083,0,0,1,1
FBtr0077902,0,0,21,16
FBsf0000917679,0,0,0,0
